State,Year,Population,Violent,Murder,Rape,Robbery,assault,Vandalism,Burglary,Larceny,GTA,Rate,Deaths,Laws,ID
WA,2016,7280934,22101,195,3133,5649,13124,254994,49249,173423,32322,9,686,43,53
WI,2016,5772917,17716,232,2005,4707,10772,111911,19498,82455,9958,11.4,664,23,55
WV,2016,1828637,6633,85,684,720,5144,37282,9127,25657,2498,17.5,332,18,54
WY,2016,584910,1431,20,206,59,1146,11460,1771,8889,800,17.4,101,6,56
AK,2015,738432,5392,59,901,761,3671,20806,3511,15249,2046,23.4,177,3,2
AL,2015,4858979,22952,348,2039,4611,15954,144746,35255,99156,10335,19.6,958,10,1
AR,2015,2978204,15526,181,1931,2098,11316,96836,22640,68424,5772,16.9,520,11,5
AZ,2015,6828065,28012,309,3108,6360,18235,207107,37957,152365,16785,13.8,970,8,4
CA,2015,39144818,166883,1861,12811,52862,99349,1024914,197404,656517,170993,7.7,3095,102,6
CO,2015,5456574,17515,176,3257,3323,10759,144136,23454,104682,16000,12.6,701,30,8
CT,2015,3590886,7845,117,773,2892,4063,65066,10053,48675,6338,5.3,189,87,9
DE,2015,945934,4720,63,341,1235,3081,25455,4773,19501,1181,12.1,112,38,10
FL,2015,20271272,93626,1041,7553,21137,63895,570270,109268,420341,40661,12,2559,21,12
GA,2015,10214860,38643,615,3224,12247,22557,308723,66374,215867,26482,14.1,1448,6,13
HI,2015,1431603,4201,19,561,1203,2418,54346,6557,42010,5779,3.6,55,80,15
IA,2015,3123899,8936,72,1156,1047,6661,63957,14892,44723,4342,7.8,247,25,19
ID,2015,1654930,3568,32,694,192,2650,28858,6124,20863,1871,14.7,247,6,16
IL,2015,12859995,49354,744,4821,14910,28879,255729,46443,191634,17652,9.5,1220,65,17
IN,2015,6619680,25653,373,2404,7111,15765,171847,34410,123918,13519,12.7,846,11,18
KS,2015,2911641,11353,128,1615,1818,7792,79199,15362,56880,6957,11.4,330,4,20
KY,2015,4425092,9676,209,1492,3307,4668,96362,22260,66320,7782,15.2,694,7,21
LA,2015,4670724,25208,481,1723,5550,17454,156629,35453,111435,9741,20.4,952,12,22
MA,2015,6794422,26562,128,2075,5288,19071,114871,21890,84912,8069,3,213,101,25
MD,2015,6006401,27462,516,1666,9863,15417,139048,25678,100219,13151,11.9,708,66,24
ME,2015,1329328,1729,23,474,311,921,24327,4684,18829,814,9.8,144,11,23
MI,2015,9922576,41231,571,6450,7796,26414,187101,40041,131296,15764,11.7,1164,21,26
MN,2015,5489594,13319,133,2321,3771,7094,121984,19299,94704,7981,7.4,410,41,27
MO,2015,6083672,30261,502,2553,6376,20830,173642,34006,122637,16999,18.1,1094,8,29
MS,2015,2992333,8254,259,1203,2294,4498,84790,24799,55748,4243,19.6,589,2,28
MT,2015,1032949,3611,36,547,210,2818,27100,3838,20844,2418,19.2,205,4,30
NC,2015,10042802,34852,517,2684,8825,22826,276183,74841,187907,13435,12.5,1289,30,37
ND,2015,756927,1812,21,345,148,1298,16020,2997,11440,1583,12.8,92,14,38
NE,2015,1896190,5212,62,873,994,3283,42495,6422,32072,4001,8.9,169,22,31
NH,2015,1330608,2652,14,627,468,1543,23229,3467,18871,891,8.9,121,10,33
NJ,2015,8958013,22879,363,1373,9729,11414,145701,27960,105963,11778,5.4,475,67,34
NM,2015,2085109,13681,117,1672,2485,9407,77094,17085,51483,8526,18.6,390,8,35
NV,2015,2890845,20118,178,1688,6287,11965,77137,22360,43426,11351,14.9,446,15,32
NY,2015,19795791,75165,609,6074,23936,44546,317529,44276,257940,15313,4.2,849,75,36
OH,2015,11613423,33898,500,5149,12554,15695,300525,69303,213993,17229,11.9,1397,16,39
OK,2015,3911338,16506,234,1849,3005,11418,112878,28406,74022,10450,18,706,9,40
OR,2015,4028977,10468,99,1593,2146,6630,118719,18336,89836,10547,11.4,486,33,41
PA,2015,12802503,40339,658,4305,13003,22373,232085,39664,180287,12134,11.4,1485,37,42
RI,2015,1056298,2562,29,459,556,1518,20043,3947,14707,1389,4.7,51,43,44
SC,2015,4896146,24700,399,2297,3931,18073,161245,34551,113724,12970,17.3,850,12,45
SD,2015,858469,3289,32,495,216,2546,16680,2960,12532,1188,11.1,96,5,46
TN,2015,6600299,40400,406,2676,7474,29844,193796,43247,137679,12870,16,1075,24,47
TX,2015,27469114,113227,1316,12250,31934,67727,777739,153054,557200,67485,11.7,3203,20,48
UT,2015,2995919,7071,54,1645,1326,4046,89278,12468,68103,8707,12.8,367,11,49
VA,2015,8382993,16399,383,2340,4441,9235,156470,21340,127019,8111,10.9,946,12,51
VT,2015,626042,739,10,136,101,492,8806,1968,6660,178,9.6,70,6,50
WA,2015,7170351,20394,211,2705,5449,12029,248369,50993,170509,26867,9.8,718,41,53
WI,2015,5771337,17647,240,1780,5232,10395,113924,19554,83385,10985,10.4,613,23,55
WV,2015,1844128,6231,70,672,760,4729,37251,9170,25842,2239,14,278,24,54
WY,2015,586107,1302,16,173,59,1054,11151,1762,8797,592,19.6,113,6,56
AK,2014,737046,4684,41,771,629,3243,20334,3150,15445,1739,19.2,145,3,2
AL,2014,4846411,20727,276,2005,4702,13744,154087,39723,104223,10141,16.9,815,10,1
AR,2014,2966835,14248,175,1816,2037,10220,99452,24816,69001,5635,16.6,496,11,5
AZ,2014,6728783,26422,311,3272,6225,16614,213406,43412,152683,17311,13.5,927,8,4
CA,2014,38792291,153763,1700,11578,48681,91804,947193,202669,592673,151851,7.4,2942,100,6
CO,2014,5355588,16487,150,3089,3037,10211,135789,23502,99688,12599,12.2,663,30,8
CT,2014,3594762,8575,89,794,3172,4520,69326,12017,51195,6114,5,187,87,9
DE,2014,935968,4568,50,390,1271,2857,27915,5765,20885,1265,11.1,102,38,10
FL,2014,19905569,91345,982,7132,21621,61610,583774,121379,426197,36198,11.5,2410,21,12
GA,2014,10097132,38955,607,3147,12786,22415,339146,78029,233359,27758,13.7,1391,6,13
HI,2014,1420257,3362,20,548,952,1842,46022,7470,33003,5549,2.6,40,80,15
IA,2014,3109481,8484,60,1150,1047,6227,65100,14363,46594,4143,7.5,241,25,19
ID,2014,1634806,3439,32,645,203,2559,30440,6466,22297,1677,13.2,213,5,16
IL,2014,12882189,47775,690,4329,15271,27485,269647,50759,201003,17885,9,1179,65,17
IN,2014,6597880,24105,333,2197,6894,14681,174909,36909,124144,13856,12.4,818,11,18
